found_date,serial,mark,applicant,applicant_country,route,international_registration,office_action,office_action_date,filing_date,tsdr_status
2026-09-01,99774226,SHIPPILOT,Werner Badenhorst,ZA,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-21,https://tsdr.uspto.gov/#caseNumber=99774226&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79450024,NOLA,KM ZÜNDHOLZ INTERNATIONAL Karl Müller GmbH,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-09,https://tsdr.uspto.gov/#caseNumber=79450024&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449604,LEADING CHANGE,Registered Nurses' Association of Ontario,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-02,https://tsdr.uspto.gov/#caseNumber=79449604&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449451,IMS.OMNIDRIVE,IMS Gear SE & Co. KGaA,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-03,https://tsdr.uspto.gov/#caseNumber=79449451&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449433,IMS.DUALDRIVE,IMS Gear SE & Co. KGaA,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-03,https://tsdr.uspto.gov/#caseNumber=79449433&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449417,IMS.DRIVE,IMS Gear SE & Co. KGaA,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-03,https://tsdr.uspto.gov/#caseNumber=79449417&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449360,HAUSWIRTH,Franz Hauswirth Ges.m.b.H.,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-02-19,https://tsdr.uspto.gov/#caseNumber=79449360&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449301,OPCT,The Padel City GmbH,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-16,https://tsdr.uspto.gov/#caseNumber=79449301&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79443921,MADLADY,MADLADY AB,XP,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-01-19,https://tsdr.uspto.gov/#caseNumber=79443921&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79450819,ICON,ICON Clinical Research Limited,XL,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2025-08-29,https://tsdr.uspto.gov/#caseNumber=79450819&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448983,GROHTHERM AQUA TILES,Grohe AG,XL,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-02-16,https://tsdr.uspto.gov/#caseNumber=79448983&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448982,GROHE RAINSHOWER AQUA TILES,Grohe AG,XL,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-02-16,https://tsdr.uspto.gov/#caseNumber=79448982&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99785886,VILLALTA EL BENDECIDO,Carlos Alberto Villalta,VE,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-24,https://tsdr.uspto.gov/#caseNumber=99785886&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99442844,LO VAMOS A ORAR DONDE CADA DECISIÓN COMIENZA EN ORACI,Alexandra P Graterol Penaloza,VE,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2025-10-14,https://tsdr.uspto.gov/#caseNumber=99442844&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99787099,REDRAWALL,ALI TOPRAK,TR,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-25,https://tsdr.uspto.gov/#caseNumber=99787099&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99765101,ÖNCÜ,ACEMOGLU GIDA SANAYI VE TIC.LTD.STI.,TR,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-15,https://tsdr.uspto.gov/#caseNumber=99765101&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448872,ALINDAIR,ALİNDAİR SOĞUTMA SİSTEMLERİ,TR,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-06,https://tsdr.uspto.gov/#caseNumber=79448872&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449677,CATALYTIC CAPITAL FOR CLIMATE & HEALTH,C3H PTE. LTD.,SG,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79449677&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449026,BONVALE,BONVALE GROUP PTE. LTD.,SG,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79449026&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448898,C3H,C3H PTE. LTD.,SG,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79448898&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79443939,PINO JELLY,POP MART (SINGAPORE) HOLDING PTE. LTD.,SG,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2025-12-26,https://tsdr.uspto.gov/#caseNumber=79443939&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448996,STAY ON COURSE,Macade Sportswear AB,SE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79448996&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79444361,YMER,Perstorp Specialty Chemicals AB,SE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-01-27,https://tsdr.uspto.gov/#caseNumber=79444361&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99783134,GELMENAILS,EVGENII ZARUBIN,RU,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-23,https://tsdr.uspto.gov/#caseNumber=99783134&caseType=SERIAL_NO&searchType=statusSearch
